maker,name,price
レノボ･ジャパン Lenovo,90RW002RJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen7 5700Gプロセッサー/NVIDIA GeForce RTX 3060/SSD 1TB/メモリ 16GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥221,980"
アイ･オー･データ機器 I-O DATA,MPC-64WE1 [小型デスクトップパソコン Intel Celeron Processor N335/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise 2019],"￥60,280"
ECS イーシーエス,LIVAZ-4/32-W10（N3350） IOT [Windows 10 IoT Enterprise搭載 小型パソコン],"￥33,110"
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥31,090"
ミニズフォーラム MINISFORUM,TL50-12/512-W10Pro（1135G7） [小型デスクトップパソコン/Intel Core i5-1135G7/メモリ 12GB/ストレージ M.2 SSD 512GB/Windows 10 Pro 64bit],"￥88,870"
アイ･オー･データ機器 I-O DATA,MPC-32WE1 [小型デスクトップパソコン Intel Celeron Processor N335/メモリー4GB/eMMC 32GB/Windows 10 IoT Enterprise 2019],"￥49,280"
ECS イーシーエス,LIVAZ2-4/64-W10(N4100)S [小型デスクトップパソコン メモリ4GB/ストレージ64GBモデル],"￥32,000"
ミニズフォーラム MINISFORUM,UM340-8/256-W10Pro（3450U） [小型デスクトップパソコン/AMD Ryzen 5 3450U/メモリ 8GB/ストレージ M.2 SSD 256GB/Windows 10 Pro 64bit],"￥67,220"
アイ･オー･データ機器 I-O DATA,MPC-32WE1/A [小型デスクトップパソコン Intel Celeron Processor N3350/メモリー4GB/eMMC 32GB/Windows 10 IoT Enterprise 2019],"￥51,700"
ECS イーシーエス,LIVAZ2-4/64-W10(N5000)S [Windows 10 Home搭載 ファンレス仕様 小型デスクトップパソコン],"￥36,440"
マイクロソフト Microsoft,LAH-00023 [Surface Studio 2（サーフェス スタジオ 2） Core i7 16GB/1TB プラチナ],"￥489,280"
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥33,110"
マウスコンピューター mouse computer,PCMI97G206SW1H20CI [デスクトップパソコン/Core i7 9700/メモリ 16GB/M.2 SSD 512GB （NVMe対応）/HDD 2TB/GeForce RTX 2060 SUPER /Windows10 Home 64bit],"￥239,800"
マイクロソフト Microsoft,LAK-00023 [Surface Studio 2（サーフェス スタジオ 2） Core i7 32GB/1TB プラチナ],"￥582,780"
マウスコンピューター mouse computer,PCMI107G306H21J [ゲーミングデスクトップパソコン/Corei7-10700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥249,800"
Acer エイサー,TC-1660-A56Z/166S [ゲーミングデスクトップ Core i5-11400F/メモリ 16GB/SSD 1TB/ドライブ無し/GTX1660 SUPER/Windows 10 Home（64bit）/ブラック],"￥169,800"
レノボ･ジャパン Lenovo,90N90078JP [ゲーミングデスクトップパソコン IdeaCentre Gaming 550i/Core i7-10700/NVIDIA GeForce RTX 2060/メモリー16GB(8GB×2)/SSD1TB (PCIe NVMe/M.2)/Windows 10 Home 64bit (日本語版)/Microsoft Office Home & Business 2019/レイヴンブラック],"￥197,780"
マイクロソフト Microsoft,LAM-00023 [Surface Studio 2（サーフェス スタジオ 2） Core i7 32GB/2TB プラチナ],"￥654,280"
レノボ･ジャパン Lenovo,F0E50030JP [一体型デスクトップ Yoga A940 core i7-9700 27型 メモリー16GB HDD 2TB 、Optaneメモリー16GB Windows 10 Pro 64bit 日本語版 Microsoft Office Home&Business2019 アイアングレー],"￥302,500"
マウスコンピューター mouse computer,PCMI97W1P19F [小型デスクトップパソコン/Corei7 9700/8GB/SSD240GB/1TB/DVDスーパーマルチドライブ/Windows10 Pro 64bit],"￥144,800"
ECS イーシーエス,LIVAZ3P-8/256-W10Pro（i5-10210U） [LIVA Z3 Plus / メモリ8GB / SSD256GB / Core i5-10210U / Windows 10 Pro],"￥108,670"
ガレリア,UA7C-R37 R218 [GALLERIA ゲーミングデスクトップPC Core i7/RTX3070/メモリ16GB/SSD1TB/Windows 10 Home 64ビット],"￥259,800"
マウスコンピューター mouse computer,PCMI117G307H21J [ゲーミングデスクトップパソコン/Corei7-11700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥299,800"
アップル Apple,Apple Mac Pro カスタマイズモデル（CTO）,"￥659,780"
アップル Apple,Apple iMac 21.5インチ 第7世代 Intel プロセッサ カスタマイズモデル（CTO）,"￥132,880"
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i9プロセッサ Radeon Pro 5300 カスタマイズモデル（CTO）,"￥293,480"
アイ･オー･データ機器 I-O DATA,MPC-LVZ3P [CPU N3350Intel Core i3-10110U/メモリー 8GB/ストレージ 256GB/OS Windows10 IoT Enterprise 2019],"￥98,780"
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i7プロセッサ カスタマイズモデル（CTO）,"￥278,080"
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i9プロセッサ グラフィックスカスタマイズモデル（CTO）,"￥318,780"
ECS イーシーエス,LIVAZ3P-8/512-W10Pro（i7-10510U） [LIVA Z3 Plus / メモリ8GB / SSD512GB / Core i7-10510U / Windows 10 Pro],"￥133,110"
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i5 3.3GHzプロセッサ カスタマイズモデル（CTO）,"￥241,780"
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i5 3.1GHzプロセッサ カスタマイズモデル（CTO）,"￥217,580"
ECS イーシーエス,LIVAZ3P-4/128-W10Pro（i3-10110U） [LIVA Z3 Plus / メモリ4GB / SSD128GB / Core i3-10110U / Windows 10 Pro],"￥88,670"
